season,round,constructor,constructor_points_after_race,constructor_wins_after_race,constructor_standings_pos_after_race,constructor_points,constructor_wins,constructor_standings_pos
1958,6,vanwall,22.0,2,2,16.0,2.0,3.0
1958,6,cooper,19.0,2,3,19.0,2.0,2.0
1958,6,brm,10.0,0,4,10.0,0.0,4.0
1958,6,maserati,6.0,0,5,3.0,0.0,5.0
1958,6,team_lotus,3.0,0,6,3.0,0.0,6.0
1958,6,porsche,0.0,0,7,0.0,0.0,7.0
1958,6,connaught,0.0,0,8,0.0,0.0,8.0
1958,6,osca,0.0,0,9,0.0,0.0,9.0
1958,7,ferrari,36.0,2,1,28.0,1.0,1.0
1958,7,vanwall,25.0,2,2,22.0,2.0,2.0
1958,7,cooper,23.0,2,3,19.0,2.0,3.0
1958,7,brm,12.0,0,4,10.0,0.0,4.0
1958,7,maserati,6.0,0,5,6.0,0.0,5.0
1958,7,team_lotus,3.0,0,6,3.0,0.0,6.0
1958,7,porsche,0.0,0,7,0.0,0.0,7.0
1958,7,connaught,0.0,0,8,0.0,0.0,8.0
1958,7,osca,0.0,0,9,0.0,0.0,9.0
1958,8,ferrari,37.0,2,1,36.0,2.0,1.0
1958,8,vanwall,33.0,3,2,25.0,2.0,2.0
1958,8,cooper,29.0,2,3,23.0,2.0,3.0
1958,8,brm,12.0,0,4,12.0,0.0,4.0
1958,8,maserati,6.0,0,5,6.0,0.0,5.0
1958,8,team_lotus,3.0,0,6,3.0,0.0,6.0
1958,8,porsche,0.0,0,7,0.0,0.0,7.0
1958,8,connaught,0.0,0,8,0.0,0.0,8.0
1958,8,osca,0.0,0,9,0.0,0.0,9.0
1958,9,vanwall,41.0,4,1,33.0,3.0,2.0
1958,9,ferrari,40.0,2,2,37.0,2.0,1.0
1958,9,cooper,29.0,2,3,29.0,2.0,3.0
1958,9,brm,15.0,0,4,12.0,0.0,4.0
1958,9,maserati,6.0,0,5,6.0,0.0,5.0
1958,9,team_lotus,3.0,0,6,3.0,0.0,6.0
1958,9,porsche,0.0,0,7,0.0,0.0,7.0
1958,9,connaught,0.0,0,8,0.0,0.0,8.0
1958,9,osca,0.0,0,9,0.0,0.0,9.0
1958,10,vanwall,46.0,5,1,41.0,4.0,1.0
1958,10,ferrari,40.0,2,2,40.0,2.0,2.0
1958,10,cooper,31.0,2,3,29.0,2.0,3.0
1958,10,brm,15.0,0,4,15.0,0.0,4.0
1958,10,maserati,6.0,0,5,6.0,0.0,5.0
1958,10,team_lotus,3.0,0,6,3.0,0.0,6.0
1958,10,porsche,0.0,0,7,0.0,0.0,7.0
1958,10,connaught,0.0,0,8,0.0,0.0,8.0
1958,10,osca,0.0,0,9,0.0,0.0,9.0
1958,11,vanwall,48.0,6,1,46.0,5.0,1.0
1958,11,ferrari,40.0,2,2,40.0,2.0,2.0
1958,11,cooper,31.0,2,3,31.0,2.0,3.0
1958,11,brm,18.0,0,4,15.0,0.0,4.0
1958,11,maserati,6.0,0,5,6.0,0.0,5.0
1958,11,team_lotus,3.0,0,6,3.0,0.0,6.0
1958,11,porsche,0.0,0,7,0.0,0.0,7.0
1958,11,connaught,0.0,0,8,0.0,0.0,8.0
1958,11,osca,0.0,0,9,0.0,0.0,9.0
1959,1,cooper-climax,8.0,1,1,0.0,0.0,0.0
1959,1,ferrari,6.0,0,2,0.0,0.0,0.0
1959,1,cooper-maserati,0.0,0,3,0.0,0.0,0.0
1959,1,brm,0.0,0,4,0.0,0.0,0.0
1959,1,team_lotus,0.0,0,5,0.0,0.0,0.0
1959,1,porsche,0.0,0,6,0.0,0.0,0.0
1959,1,maserati,0.0,0,7,0.0,0.0,0.0
1959,2,cooper-climax,8.0,1,1,8.0,1.0,1.0
1959,2,ferrari,6.0,0,2,6.0,0.0,2.0
1959,2,cooper-maserati,0.0,0,3,0.0,0.0,3.0
1959,2,brm,0.0,0,4,0.0,0.0,4.0
1959,2,team_lotus,0.0,0,5,0.0,0.0,5.0
1959,2,porsche,0.0,0,6,0.0,0.0,6.0
1959,2,maserati,0.0,0,7,0.0,0.0,7.0
1959,3,cooper-climax,14.0,1,1,8.0,1.0,1.0
1959,3,brm,8.0,1,2,0.0,0.0,4.0
1959,3,ferrari,8.0,0,3,6.0,0.0,2.0
1959,3,team_lotus,3.0,0,4,0.0,0.0,5.0
1959,3,cooper-maserati,0.0,0,5,0.0,0.0,3.0
1959,3,porsche,0.0,0,6,0.0,0.0,6.0
1959,3,aston_martin,0.0,0,7,0.0,0.0,0.0
1959,3,maserati,0.0,0,8,0.0,0.0,7.0
1959,4,cooper-climax,18.0,1,1,14.0,1.0,1.0
1959,4,ferrari,16.0,1,2,8.0,0.0,3.0
1959,4,brm,8.0,1,3,8.0,1.0,2.0
1959,4,team_lotus,3.0,0,4,3.0,0.0,4.0
1959,4,cooper-maserati,0.0,0,5,0.0,0.0,5.0
1959,4,maserati,0.0,0,6,0.0,0.0,8.0
1959,4,porsche,0.0,0,7,0.0,0.0,6.0
1959,4,aston_martin,0.0,0,8,0.0,0.0,7.0
1959,5,cooper-climax,26.0,2,1,18.0,1.0,1.0
1959,5,ferrari,16.0,1,2,16.0,1.0,2.0
1959,5,brm,14.0,1,3,8.0,1.0,3.0
1959,5,team_lotus,3.0,0,4,3.0,0.0,4.0
1959,5,aston_martin,0.0,0,5,0.0,0.0,8.0
1959,5,cooper-maserati,0.0,0,6,0.0,0.0,5.0
1959,5,maserati,0.0,0,7,0.0,0.0,6.0
1959,5,cooper-borgward,0.0,0,8,0.0,0.0,0.0
1959,5,porsche,0.0,0,9,0.0,0.0,7.0
1959,5,jbw,0.0,0,10,0.0,0.0,0.0
1959,5,vanwall,0.0,0,11,0.0,0.0,0.0
1959,5,fry,0.0,0,12,0.0,0.0,0.0
1959,6,cooper-climax,29.0,2,1,26.0,2.0,1.0
1959,6,ferrari,24.0,2,2,16.0,1.0,2.0
1959,6,brm,16.0,1,3,14.0,1.0,3.0
1959,6,team_lotus,3.0,0,4,3.0,0.0,4.0
1959,6,cooper-maserati,0.0,0,5,0.0,0.0,6.0
1959,6,aston_martin,0.0,0,6,0.0,0.0,5.0
1959,6,maserati,0.0,0,7,0.0,0.0,7.0
1959,6,cooper-borgward,0.0,0,8,0.0,0.0,8.0
1959,6,porsche,0.0,0,9,0.0,0.0,9.0
1959,6,jbw,0.0,0,10,0.0,0.0,10.0
1959,6,vanwall,0.0,0,11,0.0,0.0,11.0
1959,6,fry,0.0,0,12,0.0,0.0,12.0
1959,7,cooper-climax,34.0,3,1,29.0,2.0,1.0
1959,7,ferrari,28.0,2,2,24.0,2.0,2.0
1959,7,brm,18.0,1,3,16.0,1.0,3.0
1959,7,team_lotus,3.0,0,4,3.0,0.0,4.0
1959,7,aston_martin,0.0,0,5,0.0,0.0,6.0
1959,7,cooper-maserati,0.0,0,6,0.0,0.0,5.0
1959,7,maserati,0.0,0,7,0.0,0.0,7.0
1959,7,cooper-borgward,0.0,0,8,0.0,0.0,8.0
1959,7,porsche,0.0,0,9,0.0,0.0,9.0
1959,7,jbw,0.0,0,10,0.0,0.0,10.0
1959,7,vanwall,0.0,0,11,0.0,0.0,11.0
1959,7,fry,0.0,0,12,0.0,0.0,12.0
1959,8,cooper-climax,38.0,4,1,34.0,3.0,1.0
1959,8,ferrari,32.0,2,2,28.0,2.0,2.0
1959,8,brm,18.0,1,3,18.0,1.0,3.0
1959,8,team_lotus,3.0,0,4,3.0,0.0,4.0
1959,8,aston_martin,0.0,0,5,0.0,0.0,5.0
1959,8,cooper-maserati,0.0,0,6,0.0,0.0,6.0
1959,8,maserati,0.0,0,7,0.0,0.0,7.0
1959,8,cooper-borgward,0.0,0,8,0.0,0.0,8.0
1959,8,porsche,0.0,0,9,0.0,0.0,9.0
1959,8,jbw,0.0,0,10,0.0,0.0,10.0
1959,8,vanwall,0.0,0,11,0.0,0.0,11.0
1959,8,fry,0.0,0,12,0.0,0.0,12.0
1959,9,cooper-climax,40.0,5,1,38.0,4.0,1.0
1959,9,ferrari,32.0,2,2,32.0,2.0,2.0
1959,9,brm,18.0,1,3,18.0,1.0,3.0
1959,9,team_lotus,5.0,0,4,3.0,0.0,4.0
1959,9,aston_martin,0.0,0,5,0.0,0.0,5.0
1959,9,cooper-maserati,0.0,0,6,0.0,0.0,6.0
1959,9,kurtis_kraft,0.0,0,7,0.0,0.0,0.0
1959,9,porsche,0.0,0,8,0.0,0.0,9.0
1959,9,maserati,0.0,0,9,0.0,0.0,7.0
1959,9,cooper-borgward,0.0,0,10,0.0,0.0,8.0
1959,9,cooper-osca,0.0,0,11,0.0,0.0,0.0
1959,9,tec-mec,0.0,0,12,0.0,0.0,0.0
1959,9,connaught,0.0,0,13,0.0,0.0,0.0
1959,9,jbw,0.0,0,14,0.0,0.0,10.0
1959,9,vanwall,0.0,0,15,0.0,0.0,11.0
1959,9,fry,0.0,0,16,0.0,0.0,12.0
1960,1,cooper-climax,8.0,1,1,0.0,0.0,0.0
1960,1,ferrari,6.0,0,2,0.0,0.0,0.0
1960,1,cooper-maserati,3.0,0,3,0.0,0.0,0.0
1960,1,team_lotus,1.0,0,4,0.0,0.0,0.0
1960,1,brm,0.0,0,5,0.0,0.0,0.0
1960,1,behra-porsche,0.0,0,6,0.0,0.0,0.0
1960,1,maserati,0.0,0,7,0.0,0.0,0.0
1960,2,cooper-climax,14.0,1,1,8.0,1.0,1.0
1960,2,ferrari,10.0,0,2,6.0,0.0,2.0
1960,2,team_lotus,9.0,1,3,1.0,0.0,4.0
1960,2,cooper-maserati,3.0,0,4,3.0,0.0,3.0
1960,2,brm,2.0,0,5,0.0,0.0,5.0
1960,2,behra-porsche,0.0,0,6,0.0,0.0,6.0
1960,2,maserati,0.0,0,7,0.0,0.0,7.0
1960,2,jbw,0.0,0,8,0.0,0.0,0.0
1960,2,scarab,0.0,0,9,0.0,0.0,0.0
1960,2,cooper-castellotti,0.0,0,10,0.0,0.0,0.0
1960,3,cooper-climax,14.0,1,1,14.0,1.0,1.0
1960,3,ferrari,10.0,0,2,10.0,0.0,2.0
1960,3,team_lotus,9.0,1,3,9.0,1.0,3.0
1960,3,cooper-maserati,3.0,0,4,3.0,0.0,4.0
1960,3,brm,2.0,0,5,2.0,0.0,5.0
1960,3,behra-porsche,0.0,0,6,0.0,0.0,6.0
1960,3,maserati,0.0,0,7,0.0,0.0,7.0
1960,3,jbw,0.0,0,8,0.0,0.0,8.0
1960,3,scarab,0.0,0,9,0.0,0.0,9.0
1960,3,cooper-castellotti,0.0,0,10,0.0,0.0,10.0
1960,4,cooper-climax,22.0,2,1,14.0,1.0,1.0
1960,4,team_lotus,15.0,1,2,9.0,1.0,3.0
1960,4,ferrari,12.0,0,3,10.0,0.0,2.0
1960,4,brm,6.0,0,4,2.0,0.0,5.0
1960,4,cooper-maserati,3.0,0,5,3.0,0.0,4.0
1960,4,behra-porsche,0.0,0,6,0.0,0.0,6.0
1960,4,maserati,0.0,0,7,0.0,0.0,7.0
1960,4,aston_martin,0.0,0,8,0.0,0.0,0.0
1960,4,jbw,0.0,0,9,0.0,0.0,8.0
1960,4,scarab,0.0,0,10,0.0,0.0,9.0
1960,4,cooper-castellotti,0.0,0,11,0.0,0.0,10.0
1960,5,cooper-climax,30.0,3,1,22.0,2.0,1.0
1960,5,team_lotus,17.0,1,2,15.0,1.0,2.0
1960,5,ferrari,15.0,0,3,12.0,0.0,3.0
1960,5,brm,6.0,0,4,6.0,0.0,4.0
1960,5,cooper-maserati,3.0,0,5,3.0,0.0,5.0
1960,5,behra-porsche,0.0,0,6,0.0,0.0,6.0
1960,5,maserati,0.0,0,7,0.0,0.0,7.0
1960,5,scarab,0.0,0,8,0.0,0.0,10.0
1960,5,aston_martin,0.0,0,9,0.0,0.0,8.0
1960,5,jbw,0.0,0,10,0.0,0.0,9.0
1960,5,cooper-castellotti,0.0,0,11,0.0,0.0,11.0
1960,6,cooper-climax,38.0,4,1,30.0,3.0,1.0
1960,6,team_lotus,19.0,1,2,17.0,1.0,2.0
1960,6,ferrari,15.0,0,3,15.0,0.0,3.0
1960,6,brm,6.0,0,4,6.0,0.0,4.0
1960,6,cooper-maserati,3.0,0,5,3.0,0.0,5.0
1960,6,behra-porsche,0.0,0,6,0.0,0.0,6.0
1960,6,maserati,0.0,0,7,0.0,0.0,7.0
1960,6,scarab,0.0,0,8,0.0,0.0,8.0
1960,6,cooper-castellotti,0.0,0,9,0.0,0.0,11.0
1960,6,aston_martin,0.0,0,10,0.0,0.0,9.0
1960,6,vanwall,0.0,0,11,0.0,0.0,0.0
1960,6,jbw,0.0,0,12,0.0,0.0,10.0
1960,7,cooper-climax,46.0,5,1,38.0,4.0,1.0
1960,7,team_lotus,25.0,1,2,19.0,1.0,2.0
1960,7,ferrari,16.0,0,3,15.0,0.0,3.0
1960,7,brm,6.0,0,4,6.0,0.0,4.0
1960,7,cooper-maserati,3.0,0,5,3.0,0.0,5.0
1960,7,aston_martin,0.0,0,6,0.0,0.0,10.0
1960,7,behra-porsche,0.0,0,7,0.0,0.0,6.0
1960,7,maserati,0.0,0,8,0.0,0.0,7.0
1960,7,jbw,0.0,0,9,0.0,0.0,12.0
1960,7,cooper-castellotti,0.0,0,10,0.0,0.0,9.0
1960,7,scarab,0.0,0,11,0.0,0.0,8.0
1960,7,vanwall,0.0,0,12,0.0,0.0,11.0
1960,8,cooper-climax,48.0,6,1,46.0,5.0,1.0
1960,8,team_lotus,28.0,1,2,25.0,1.0,2.0
1960,8,ferrari,19.0,0,3,16.0,0.0,3.0
1960,8,brm,6.0,0,4,6.0,0.0,4.0
1960,8,cooper-maserati,3.0,0,5,3.0,0.0,5.0
1960,8,aston_martin,0.0,0,6,0.0,0.0,6.0
1960,8,behra-porsche,0.0,0,7,0.0,0.0,7.0
1960,8,maserati,0.0,0,8,0.0,0.0,8.0
1960,8,jbw,0.0,0,9,0.0,0.0,9.0
1960,8,cooper-castellotti,0.0,0,10,0.0,0.0,10.0
1960,8,scarab,0.0,0,11,0.0,0.0,11.0
1960,8,vanwall,0.0,0,12,0.0,0.0,12.0
1960,9,cooper-climax,48.0,6,1,48.0,6.0,1.0
1960,9,team_lotus,28.0,1,2,28.0,1.0,2.0
1960,9,ferrari,26.0,1,3,19.0,0.0,3.0
1960,9,brm,6.0,0,4,6.0,0.0,4.0
1960,9,cooper-maserati,3.0,0,5,3.0,0.0,5.0
1960,9,cooper-castellotti,3.0,0,6,0.0,0.0,10.0
1960,9,porsche,1.0,0,7,0.0,0.0,0.0
1960,9,behra-porsche,0.0,0,8,0.0,0.0,7.0
1960,9,aston_martin,0.0,0,9,0.0,0.0,6.0
1960,9,maserati,0.0,0,10,0.0,0.0,8.0
1960,9,jbw,0.0,0,11,0.0,0.0,9.0
1960,9,scarab,0.0,0,12,0.0,0.0,11.0
1960,9,vanwall,0.0,0,13,0.0,0.0,12.0
1960,10,cooper-climax,48.0,6,1,48.0,6.0,1.0
1960,10,team_lotus,34.0,2,2,28.0,1.0,2.0
1960,10,ferrari,26.0,1,3,26.0,1.0,3.0
1960,10,brm,8.0,0,4,6.0,0.0,4.0
1960,10,cooper-maserati,3.0,0,5,3.0,0.0,5.0
1960,10,cooper-castellotti,3.0,0,6,3.0,0.0,6.0
1960,10,porsche,1.0,0,7,1.0,0.0,7.0
1960,10,behra-porsche,0.0,0,8,0.0,0.0,8.0
1960,10,scarab,0.0,0,9,0.0,0.0,12.0
1960,10,aston_martin,0.0,0,10,0.0,0.0,9.0
1960,10,maserati,0.0,0,11,0.0,0.0,10.0
1960,10,jbw,0.0,0,12,0.0,0.0,11.0
1960,10,vanwall,0.0,0,13,0.0,0.0,13.0
1961,1,lotus-climax,9.0,1,1,0.0,0.0,0.0
1961,1,ferrari,6.0,0,2,0.0,0.0,0.0
1961,1,porsche,2.0,0,3,0.0,0.0,0.0
1961,1,cooper-climax,1.0,0,4,0.0,0.0,0.0
1961,1,cooper-maserati,0.0,0,5,0.0,0.0,0.0
1961,1,brm,0.0,0,6,0.0,0.0,0.0
1961,1,emeryson,0.0,0,7,0.0,0.0,0.0
1961,2,ferrari,15.0,1,1,6.0,0.0,2.0
1961,2,lotus-climax,13.0,1,2,9.0,1.0,1.0
1961,2,porsche,2.0,0,3,2.0,0.0,3.0
1961,2,cooper-climax,2.0,0,4,1.0,0.0,4.0
1961,2,cooper-maserati,0.0,0,5,0.0,0.0,5.0
1961,2,brm,0.0,0,6,0.0,0.0,6.0
1961,2,emeryson,0.0,0,7,0.0,0.0,7.0
1961,3,ferrari,24.0,2,1,15.0,1.0,1.0
1961,3,lotus-climax,13.0,1,2,13.0,1.0,2.0
1961,3,cooper-climax,4.0,0,3,2.0,0.0,4.0
1961,3,porsche,3.0,0,4,2.0,0.0,3.0
1961,3,cooper-maserati,0.0,0,5,0.0,0.0,5.0
1961,3,brm,0.0,0,6,0.0,0.0,6.0
1961,3,emeryson,0.0,0,7,0.0,0.0,7.0
1961,4,ferrari,33.0,3,1,24.0,2.0,1.0
1961,4,lotus-climax,17.0,1,2,13.0,1.0,2.0
1961,4,porsche,9.0,0,3,3.0,0.0,4.0
1961,4,cooper-climax,6.0,0,4,4.0,0.0,3.0
1961,4,brm,1.0,0,5,0.0,0.0,6.0
1961,4,cooper-maserati,0.0,0,6,0.0,0.0,5.0
1961,4,emeryson,0.0,0,7,0.0,0.0,7.0
1961,4,de_tomaso-osca,0.0,0,8,0.0,0.0,0.0
1961,4,jbw,0.0,0,9,0.0,0.0,0.0
1961,5,ferrari,42.0,4,1,33.0,3.0,1.0
1961,5,lotus-climax,17.0,1,2,17.0,1.0,2.0
1961,5,porsche,11.0,0,3,9.0,0.0,3.0
1961,5,cooper-climax,9.0,0,4,6.0,0.0,4.0
1961,5,brm,1.0,0,5,1.0,0.0,5.0
1961,5,cooper-maserati,0.0,0,6,0.0,0.0,6.0
1961,5,gilby,0.0,0,7,0.0,0.0,0.0
1961,5,emeryson,0.0,0,8,0.0,0.0,7.0
1961,5,de_tomaso-osca,0.0,0,9,0.0,0.0,8.0
1961,5,jbw,0.0,0,10,0.0,0.0,9.0
1961,6,ferrari,42.0,4,1,42.0,4.0,1.0
1961,6,lotus-climax,26.0,2,2,17.0,1.0,2.0
1961,6,porsche,11.0,0,3,11.0,0.0,3.0
1961,6,cooper-climax,10.0,0,4,9.0,0.0,4.0
1961,6,brm,1.0,0,5,1.0,0.0,5.0
1961,6,cooper-maserati,0.0,0,6,0.0,0.0,6.0
1961,6,gilby,0.0,0,7,0.0,0.0,7.0
1961,6,emeryson,0.0,0,8,0.0,0.0,8.0
1961,6,de_tomaso-osca,0.0,0,9,0.0,0.0,9.0
1961,6,mbm,0.0,0,10,0.0,0.0,0.0
1961,6,jbw,0.0,0,11,0.0,0.0,10.0
1961,7,ferrari,45.0,5,1,42.0,4.0,1.0
1961,7,lotus-climax,26.0,2,2,26.0,2.0,2.0
1961,7,porsche,17.0,0,3,11.0,0.0,3.0
1961,7,cooper-climax,13.0,0,4,10.0,0.0,4.0
1961,7,brm,3.0,0,5,1.0,0.0,5.0
1961,7,cooper-maserati,0.0,0,6,0.0,0.0,6.0
1961,7,gilby,0.0,0,7,0.0,0.0,7.0
1961,7,lotus-maserati,0.0,0,8,0.0,0.0,0.0
1961,7,de_tomaso-alfa_romeo,0.0,0,9,0.0,0.0,0.0
1961,7,emeryson,0.0,0,10,0.0,0.0,8.0
1961,7,de_tomaso-osca,0.0,0,11,0.0,0.0,9.0
1961,7,jbw,0.0,0,12,0.0,0.0,11.0
1961,7,mbm,0.0,0,13,0.0,0.0,10.0
1961,8,ferrari,45.0,5,1,45.0,5.0,1.0
1961,8,lotus-climax,35.0,3,2,26.0,2.0,2.0
1961,8,porsche,22.0,0,3,17.0,0.0,3.0
1961,8,cooper-climax,14.0,0,4,13.0,0.0,4.0
1961,8,brm,7.0,0,5,3.0,0.0,5.0
1961,8,cooper-maserati,0.0,0,6,0.0,0.0,6.0
1961,8,gilby,0.0,0,7,0.0,0.0,7.0
1961,8,lotus-maserati,0.0,0,8,0.0,0.0,8.0
1961,8,de_tomaso-alfa_romeo,0.0,0,9,0.0,0.0,9.0
1961,8,emeryson,0.0,0,10,0.0,0.0,10.0
1961,8,de_tomaso-osca,0.0,0,11,0.0,0.0,11.0
1961,8,jbw,0.0,0,12,0.0,0.0,12.0
1961,8,mbm,0.0,0,13,0.0,0.0,13.0
1962,1,brm,9.0,1,1,0.0,0.0,0.0
1962,1,lotus-climax,6.0,0,2,0.0,0.0,0.0
1962,1,ferrari,4.0,0,3,0.0,0.0,0.0
1962,1,cooper-climax,2.0,0,4,0.0,0.0,0.0
1962,1,porsche,1.0,0,5,0.0,0.0,0.0
1962,1,emeryson,0.0,0,6,0.0,0.0,0.0
1962,1,lola,0.0,0,7,0.0,0.0,0.0
1962,2,cooper-climax,11.0,1,1,2.0,0.0,4.0
1962,2,brm,10.0,1,2,9.0,1.0,1.0
1962,2,ferrari,10.0,0,3,4.0,0.0,3.0
1962,2,lotus-climax,6.0,0,4,6.0,0.0,2.0
1962,2,lola,3.0,0,5,0.0,0.0,7.0
1962,2,porsche,3.0,0,6,1.0,0.0,5.0
1962,2,emeryson,0.0,0,7,0.0,0.0,6.0
1962,2,lotus-brm,0.0,0,8,0.0,0.0,0.0
1962,2,de_tomaso-alfa_romeo,0.0,0,9,0.0,0.0,0.0
1962,3,brm,16.0,1,1,10.0,1.0,2.0
1962,3,lotus-climax,15.0,1,2,6.0,0.0,4.0
1962,3,ferrari,14.0,0,3,10.0,0.0,3.0
1962,3,cooper-climax,11.0,1,4,11.0,1.0,1.0
1962,3,lola,5.0,0,5,3.0,0.0,5.0
1962,3,porsche,3.0,0,6,3.0,0.0,6.0
1962,3,emeryson,0.0,0,7,0.0,0.0,7.0
1962,3,lotus-brm,0.0,0,8,0.0,0.0,8.0
1962,3,de_tomaso-alfa_romeo,0.0,0,9,0.0,0.0,9.0
1962,4,brm,20.0,1,1,16.0,1.0,1.0
1962,4,cooper-climax,17.0,1,2,11.0,1.0,4.0
1962,4,lotus-climax,15.0,1,3,15.0,1.0,2.0
1962,4,ferrari,14.0,0,4,14.0,0.0,3.0
1962,4,porsche,12.0,1,5,3.0,0.0,6.0
1962,4,lola,7.0,0,6,5.0,0.0,5.0
1962,4,cooper,0.0,0,7,0.0,0.0,0.0
1962,4,lotus-brm,0.0,0,8,0.0,0.0,8.0
1962,4,emeryson,0.0,0,9,0.0,0.0,7.0
1962,4,team_lotus,0.0,0,10,0.0,0.0,0.0
1962,4,de_tomaso-alfa_romeo,0.0,0,11,0.0,0.0,9.0
1962,5,lotus-climax,24.0,2,1,15.0,1.0,3.0
1962,5,brm,23.0,1,2,20.0,1.0,1.0
1962,5,cooper-climax,21.0,1,3,17.0,1.0,2.0
1962,5,ferrari,14.0,0,4,14.0,0.0,4.0
1962,5,lola,13.0,0,5,7.0,0.0,6.0
1962,5,porsche,12.0,1,6,12.0,1.0,5.0
1962,5,emeryson,0.0,0,7,0.0,0.0,9.0
1962,5,cooper,0.0,0,8,0.0,0.0,7.0
1962,5,lotus-brm,0.0,0,9,0.0,0.0,8.0
1962,5,team_lotus,0.0,0,10,0.0,0.0,10.0
1962,5,de_tomaso-alfa_romeo,0.0,0,11,0.0,0.0,11.0
1962,5,gilby,0.0,0,12,0.0,0.0,0.0
1962,6,brm,31.0,2,1,23.0,1.0,2.0
1962,6,lotus-climax,27.0,2,2,24.0,2.0,1.0
1962,6,cooper-climax,23.0,1,3,21.0,1.0,3.0
1962,6,lola,19.0,0,4,13.0,0.0,5.0
1962,6,porsche,16.0,1,5,12.0,1.0,6.0
1962,6,ferrari,15.0,0,6,14.0,0.0,4.0
1962,6,emeryson,0.0,0,7,0.0,0.0,7.0
1962,6,enb,0.0,0,8,0.0,0.0,0.0
1962,6,cooper,0.0,0,9,0.0,0.0,8.0
1962,6,lotus-brm,0.0,0,10,0.0,0.0,9.0
1962,6,team_lotus,0.0,0,11,0.0,0.0,10.0
1962,6,brabham,0.0,0,12,0.0,0.0,0.0
1962,6,gilby,0.0,0,13,0.0,0.0,12.0
1962,6,de_tomaso-alfa_romeo,0.0,0,14,0.0,0.0,11.0
1962,7,brm,37.0,3,1,31.0,2.0,1.0
1962,7,lotus-climax,27.0,2,2,27.0,2.0,2.0
1962,7,cooper-climax,25.0,1,3,23.0,1.0,3.0
1962,7,lola,19.0,0,4,19.0,0.0,4.0
1962,7,ferrari,18.0,0,5,15.0,0.0,6.0
1962,7,porsche,17.0,1,6,16.0,1.0,5.0
1962,7,emeryson,0.0,0,7,0.0,0.0,7.0
1962,7,lotus-brm,0.0,0,8,0.0,0.0,10.0
1962,7,enb,0.0,0,9,0.0,0.0,8.0
1962,7,cooper,0.0,0,10,0.0,0.0,9.0
1962,7,team_lotus,0.0,0,11,0.0,0.0,11.0
1962,7,brabham,0.0,0,12,0.0,0.0,12.0
1962,7,gilby,0.0,0,13,0.0,0.0,13.0
1962,7,de_tomaso-alfa_romeo,0.0,0,14,0.0,0.0,14.0
1962,7,de_tomaso-osca,0.0,0,15,0.0,0.0,0.0
1962,7,tomaso,0.0,0,16,0.0,0.0,0.0
1962,7,lotus-borgward,0.0,0,17,0.0,0.0,0.0
1962,8,brm,39.0,3,1,37.0,3.0,1.0
1962,8,lotus-climax,36.0,3,2,27.0,2.0,2.0
1962,8,cooper-climax,27.0,1,3,25.0,1.0,3.0
