season,round,circuit_id,lat,long,country,date,url
1953,9,monza,45.6156,9.28111,Italy,1953-09-13,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
1954,1,galvez,-34.6943,-58.4593,Argentina,1954-01-17,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
1954,2,indianapolis,39.795,-86.2347,USA,1954-05-31,http://en.wikipedia.org/wiki/1954_Indianapolis_500
1954,3,spa,50.4372,5.97139,Belgium,1954-06-20,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
1954,4,reims,49.2542,3.93083,France,1954-07-04,http://en.wikipedia.org/wiki/1954_French_Grand_Prix
1954,5,silverstone,52.0786,-1.01694,UK,1954-07-17,http://en.wikipedia.org/wiki/1954_British_Grand_Prix
1954,6,nurburgring,50.3356,6.9475,Germany,1954-08-01,http://en.wikipedia.org/wiki/1954_German_Grand_Prix
1954,7,bremgarten,46.9589,7.40194,Switzerland,1954-08-22,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
1954,8,monza,45.6156,9.28111,Italy,1954-09-05,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
1954,9,pedralbes,41.3903,2.11667,Spain,1954-10-24,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
1955,1,galvez,-34.6943,-58.4593,Argentina,1955-01-16,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
1955,2,monaco,43.7347,7.42056,Monaco,1955-05-22,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix
1955,3,indianapolis,39.795,-86.2347,USA,1955-05-30,http://en.wikipedia.org/wiki/1955_Indianapolis_500
1955,4,spa,50.4372,5.97139,Belgium,1955-06-05,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
1955,5,zandvoort,52.3888,4.54092,Netherlands,1955-06-19,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix
1955,6,aintree,53.4769,-2.94056,UK,1955-07-16,http://en.wikipedia.org/wiki/1955_British_Grand_Prix
1955,7,monza,45.6156,9.28111,Italy,1955-09-11,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix
1956,1,galvez,-34.6943,-58.4593,Argentina,1956-01-22,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
1956,2,monaco,43.7347,7.42056,Monaco,1956-05-13,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix
1956,3,indianapolis,39.795,-86.2347,USA,1956-05-30,http://en.wikipedia.org/wiki/1956_Indianapolis_500
1956,4,spa,50.4372,5.97139,Belgium,1956-06-03,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
1956,5,reims,49.2542,3.93083,France,1956-07-01,http://en.wikipedia.org/wiki/1956_French_Grand_Prix
1956,6,silverstone,52.0786,-1.01694,UK,1956-07-14,http://en.wikipedia.org/wiki/1956_British_Grand_Prix
1956,7,nurburgring,50.3356,6.9475,Germany,1956-08-05,http://en.wikipedia.org/wiki/1956_German_Grand_Prix
1956,8,monza,45.6156,9.28111,Italy,1956-09-02,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix
1957,1,galvez,-34.6943,-58.4593,Argentina,1957-01-13,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix
1957,2,monaco,43.7347,7.42056,Monaco,1957-05-19,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
1957,3,indianapolis,39.795,-86.2347,USA,1957-05-30,http://en.wikipedia.org/wiki/1957_Indianapolis_500
1957,4,essarts,49.3306,1.00458,France,1957-07-07,http://en.wikipedia.org/wiki/1957_French_Grand_Prix
1957,5,aintree,53.4769,-2.94056,UK,1957-07-20,http://en.wikipedia.org/wiki/1957_British_Grand_Prix
1957,6,nurburgring,50.3356,6.9475,Germany,1957-08-04,http://en.wikipedia.org/wiki/1957_German_Grand_Prix
1957,7,pescara,42.475,14.1508,Italy,1957-08-18,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix
1957,8,monza,45.6156,9.28111,Italy,1957-09-08,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
1958,1,galvez,-34.6943,-58.4593,Argentina,1958-01-19,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
1958,2,monaco,43.7347,7.42056,Monaco,1958-05-18,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
1958,3,zandvoort,52.3888,4.54092,Netherlands,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
1958,4,indianapolis,39.795,-86.2347,USA,1958-05-30,http://en.wikipedia.org/wiki/1958_Indianapolis_500
1958,5,spa,50.4372,5.97139,Belgium,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
1958,6,reims,49.2542,3.93083,France,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
1958,7,silverstone,52.0786,-1.01694,UK,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
1958,8,nurburgring,50.3356,6.9475,Germany,1958-08-03,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
1958,9,boavista,41.1705,-8.67325,Portugal,1958-08-24,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
1958,10,monza,45.6156,9.28111,Italy,1958-09-07,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
1958,11,ain-diab,33.5786,-7.6875,Morocco,1958-10-19,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
1959,1,monaco,43.7347,7.42056,Monaco,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
1959,2,indianapolis,39.795,-86.2347,USA,1959-05-30,http://en.wikipedia.org/wiki/1959_Indianapolis_500
1959,3,zandvoort,52.3888,4.54092,Netherlands,1959-05-31,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
1959,4,reims,49.2542,3.93083,France,1959-07-05,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
1959,5,aintree,53.4769,-2.94056,UK,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
1959,6,avus,52.4806,13.2514,Germany,1959-08-02,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
1959,7,monsanto,38.7197,-9.20306,Portugal,1959-08-23,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
1959,8,monza,45.6156,9.28111,Italy,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
1959,9,sebring,27.4547,-81.3483,USA,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
1960,1,galvez,-34.6943,-58.4593,Argentina,1960-02-07,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix
1960,2,monaco,43.7347,7.42056,Monaco,1960-05-29,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix
1960,3,indianapolis,39.795,-86.2347,USA,1960-05-30,http://en.wikipedia.org/wiki/1960_Indianapolis_500
1960,4,zandvoort,52.3888,4.54092,Netherlands,1960-06-06,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix
1960,5,spa,50.4372,5.97139,Belgium,1960-06-19,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix
1960,6,reims,49.2542,3.93083,France,1960-07-03,http://en.wikipedia.org/wiki/1960_French_Grand_Prix
1960,7,silverstone,52.0786,-1.01694,UK,1960-07-16,http://en.wikipedia.org/wiki/1960_British_Grand_Prix
1960,8,boavista,41.1705,-8.67325,Portugal,1960-08-14,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix
1960,9,monza,45.6156,9.28111,Italy,1960-09-04,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
1960,10,riverside,33.937,-117.273,USA,1960-11-20,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix
1961,1,monaco,43.7347,7.42056,Monaco,1961-05-14,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix
1961,2,zandvoort,52.3888,4.54092,Netherlands,1961-05-22,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix
1961,3,spa,50.4372,5.97139,Belgium,1961-06-18,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix
1961,4,reims,49.2542,3.93083,France,1961-07-02,http://en.wikipedia.org/wiki/1961_French_Grand_Prix
1961,5,aintree,53.4769,-2.94056,UK,1961-07-15,http://en.wikipedia.org/wiki/1961_British_Grand_Prix
1961,6,nurburgring,50.3356,6.9475,Germany,1961-08-06,http://en.wikipedia.org/wiki/1961_German_Grand_Prix
1961,7,monza,45.6156,9.28111,Italy,1961-09-10,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
1961,8,watkins_glen,42.3369,-76.9272,USA,1961-10-08,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix
1962,1,zandvoort,52.3888,4.54092,Netherlands,1962-05-20,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix
1962,2,monaco,43.7347,7.42056,Monaco,1962-06-03,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix
1962,3,spa,50.4372,5.97139,Belgium,1962-06-17,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix
1962,4,essarts,49.3306,1.00458,France,1962-07-08,http://en.wikipedia.org/wiki/1962_French_Grand_Prix
1962,5,aintree,53.4769,-2.94056,UK,1962-07-21,http://en.wikipedia.org/wiki/1962_British_Grand_Prix
1962,6,nurburgring,50.3356,6.9475,Germany,1962-08-05,http://en.wikipedia.org/wiki/1962_German_Grand_Prix
1962,7,monza,45.6156,9.28111,Italy,1962-09-16,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix
1962,8,watkins_glen,42.3369,-76.9272,USA,1962-10-07,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix
1962,9,george,-33.0486,27.8736,South Africa,1962-12-29,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix
1963,1,monaco,43.7347,7.42056,Monaco,1963-05-26,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix
1963,2,spa,50.4372,5.97139,Belgium,1963-06-09,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix
1963,3,zandvoort,52.3888,4.54092,Netherlands,1963-06-23,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix
1963,4,reims,49.2542,3.93083,France,1963-06-30,http://en.wikipedia.org/wiki/1963_French_Grand_Prix
1963,5,silverstone,52.0786,-1.01694,UK,1963-07-20,http://en.wikipedia.org/wiki/1963_British_Grand_Prix
1963,6,nurburgring,50.3356,6.9475,Germany,1963-08-04,http://en.wikipedia.org/wiki/1963_German_Grand_Prix
1963,7,monza,45.6156,9.28111,Italy,1963-09-08,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix
1963,8,watkins_glen,42.3369,-76.9272,USA,1963-10-06,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix
1963,9,rodriguez,19.4042,-99.0907,Mexico,1963-10-27,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix
1963,10,george,-33.0486,27.8736,South Africa,1963-12-28,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix
1964,1,monaco,43.7347,7.42056,Monaco,1964-05-10,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix
1964,2,zandvoort,52.3888,4.54092,Netherlands,1964-05-24,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix
1964,3,spa,50.4372,5.97139,Belgium,1964-06-14,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix
1964,4,essarts,49.3306,1.00458,France,1964-06-28,http://en.wikipedia.org/wiki/1964_French_Grand_Prix
1964,5,brands_hatch,51.3569,0.263056,UK,1964-07-11,http://en.wikipedia.org/wiki/1964_British_Grand_Prix
1964,6,nurburgring,50.3356,6.9475,Germany,1964-08-02,http://en.wikipedia.org/wiki/1964_German_Grand_Prix
1964,7,zeltweg,47.2039,14.7478,Austria,1964-08-23,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix
1964,8,monza,45.6156,9.28111,Italy,1964-09-06,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix
1964,9,watkins_glen,42.3369,-76.9272,USA,1964-10-04,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix
1964,10,rodriguez,19.4042,-99.0907,Mexico,1964-10-25,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix
1965,1,george,-33.0486,27.8736,South Africa,1965-01-01,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix
1965,2,monaco,43.7347,7.42056,Monaco,1965-05-30,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix
1965,3,spa,50.4372,5.97139,Belgium,1965-06-13,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix
1965,4,charade,45.7472,3.03889,France,1965-06-27,http://en.wikipedia.org/wiki/1965_French_Grand_Prix
1965,5,silverstone,52.0786,-1.01694,UK,1965-07-10,http://en.wikipedia.org/wiki/1965_British_Grand_Prix
1965,6,zandvoort,52.3888,4.54092,Netherlands,1965-07-18,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix
1965,7,nurburgring,50.3356,6.9475,Germany,1965-08-01,http://en.wikipedia.org/wiki/1965_German_Grand_Prix
1965,8,monza,45.6156,9.28111,Italy,1965-09-12,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix
1965,9,watkins_glen,42.3369,-76.9272,USA,1965-10-03,http://en.wikipedia.org/wiki/1965_United_States_Grand_Prix
1965,10,rodriguez,19.4042,-99.0907,Mexico,1965-10-24,http://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix
1966,1,monaco,43.7347,7.42056,Monaco,1966-05-22,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix
1966,2,spa,50.4372,5.97139,Belgium,1966-06-12,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix
1966,3,reims,49.2542,3.93083,France,1966-07-03,http://en.wikipedia.org/wiki/1966_French_Grand_Prix
1966,4,brands_hatch,51.3569,0.263056,UK,1966-07-16,http://en.wikipedia.org/wiki/1966_British_Grand_Prix
1966,5,zandvoort,52.3888,4.54092,Netherlands,1966-07-24,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix
1966,6,nurburgring,50.3356,6.9475,Germany,1966-08-07,http://en.wikipedia.org/wiki/1966_German_Grand_Prix
1966,7,monza,45.6156,9.28111,Italy,1966-09-04,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix
1966,8,watkins_glen,42.3369,-76.9272,USA,1966-10-02,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix
1966,9,rodriguez,19.4042,-99.0907,Mexico,1966-10-23,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix
1967,1,kyalami,-25.9894,28.0767,South Africa,1967-01-02,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix
1967,2,monaco,43.7347,7.42056,Monaco,1967-05-07,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix
1967,3,zandvoort,52.3888,4.54092,Netherlands,1967-06-04,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix
1967,4,spa,50.4372,5.97139,Belgium,1967-06-18,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix
1967,5,lemans,47.95,0.224231,France,1967-07-02,http://en.wikipedia.org/wiki/1967_French_Grand_Prix
1967,6,silverstone,52.0786,-1.01694,UK,1967-07-15,http://en.wikipedia.org/wiki/1967_British_Grand_Prix
1967,7,nurburgring,50.3356,6.9475,Germany,1967-08-06,http://en.wikipedia.org/wiki/1967_German_Grand_Prix
1967,8,mosport,44.0481,-78.6756,Canada,1967-08-27,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix
1967,9,monza,45.6156,9.28111,Italy,1967-09-10,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix
1967,10,watkins_glen,42.3369,-76.9272,USA,1967-10-01,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix
1967,11,rodriguez,19.4042,-99.0907,Mexico,1967-10-22,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix
1968,1,kyalami,-25.9894,28.0767,South Africa,1968-01-01,http://en.wikipedia.org/wiki/1968_South_African_Grand_Prix
1968,2,jarama,40.6171,-3.58558,Spain,1968-05-12,http://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix
1968,3,monaco,43.7347,7.42056,Monaco,1968-05-26,http://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix
1968,4,spa,50.4372,5.97139,Belgium,1968-06-09,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix
1968,5,zandvoort,52.3888,4.54092,Netherlands,1968-06-23,http://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix
1968,6,essarts,49.3306,1.00458,France,1968-07-07,http://en.wikipedia.org/wiki/1968_French_Grand_Prix
1968,7,brands_hatch,51.3569,0.263056,UK,1968-07-20,http://en.wikipedia.org/wiki/1968_British_Grand_Prix
1968,8,nurburgring,50.3356,6.9475,Germany,1968-08-04,http://en.wikipedia.org/wiki/1968_German_Grand_Prix
1968,9,monza,45.6156,9.28111,Italy,1968-09-08,http://en.wikipedia.org/wiki/1968_Italian_Grand_Prix
1968,10,tremblant,46.1877,-74.6099,Canada,1968-09-22,http://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix
1968,11,watkins_glen,42.3369,-76.9272,USA,1968-10-06,http://en.wikipedia.org/wiki/1968_United_States_Grand_Prix
1968,12,rodriguez,19.4042,-99.0907,Mexico,1968-11-03,http://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix
1969,1,kyalami,-25.9894,28.0767,South Africa,1969-03-01,http://en.wikipedia.org/wiki/1969_South_African_Grand_Prix
1969,2,montjuic,41.3664,2.15167,Spain,1969-05-04,http://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix
1969,3,monaco,43.7347,7.42056,Monaco,1969-05-18,http://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix
1969,4,zandvoort,52.3888,4.54092,Netherlands,1969-06-21,http://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix
1969,5,charade,45.7472,3.03889,France,1969-07-06,http://en.wikipedia.org/wiki/1969_French_Grand_Prix
1969,6,silverstone,52.0786,-1.01694,UK,1969-07-19,http://en.wikipedia.org/wiki/1969_British_Grand_Prix
1969,7,nurburgring,50.3356,6.9475,Germany,1969-08-03,http://en.wikipedia.org/wiki/1969_German_Grand_Prix
1969,8,monza,45.6156,9.28111,Italy,1969-09-07,http://en.wikipedia.org/wiki/1969_Italian_Grand_Prix
1969,9,mosport,44.0481,-78.6756,Canada,1969-09-20,http://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix
1969,10,watkins_glen,42.3369,-76.9272,USA,1969-10-05,http://en.wikipedia.org/wiki/1969_United_States_Grand_Prix
1969,11,rodriguez,19.4042,-99.0907,Mexico,1969-10-19,http://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix
1970,1,kyalami,-25.9894,28.0767,South Africa,1970-03-07,http://en.wikipedia.org/wiki/1970_South_African_Grand_Prix
1970,2,jarama,40.6171,-3.58558,Spain,1970-04-19,http://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix
1970,3,monaco,43.7347,7.42056,Monaco,1970-05-10,http://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix
1970,4,spa,50.4372,5.97139,Belgium,1970-06-07,http://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix
1970,5,zandvoort,52.3888,4.54092,Netherlands,1970-06-21,http://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix
1970,6,charade,45.7472,3.03889,France,1970-07-05,http://en.wikipedia.org/wiki/1970_French_Grand_Prix
1970,7,brands_hatch,51.3569,0.263056,UK,1970-07-18,http://en.wikipedia.org/wiki/1970_British_Grand_Prix
1970,8,hockenheimring,49.3278,8.56583,Germany,1970-08-02,http://en.wikipedia.org/wiki/1970_German_Grand_Prix
1970,9,osterreichring,47.2197,14.7647,Austria,1970-08-16,http://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix
1970,10,monza,45.6156,9.28111,Italy,1970-09-06,http://en.wikipedia.org/wiki/1970_Italian_Grand_Prix
1970,11,tremblant,46.1877,-74.6099,Canada,1970-09-20,http://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix
1970,12,watkins_glen,42.3369,-76.9272,USA,1970-10-04,http://en.wikipedia.org/wiki/1970_United_States_Grand_Prix
1970,13,rodriguez,19.4042,-99.0907,Mexico,1970-10-25,http://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix
1971,1,kyalami,-25.9894,28.0767,South Africa,1971-03-06,http://en.wikipedia.org/wiki/1971_South_African_Grand_Prix
1971,2,montjuic,41.3664,2.15167,Spain,1971-04-18,http://en.wikipedia.org/wiki/1971_Spanish_Grand_Prix
1971,3,monaco,43.7347,7.42056,Monaco,1971-05-23,http://en.wikipedia.org/wiki/1971_Monaco_Grand_Prix
1971,4,zandvoort,52.3888,4.54092,Netherlands,1971-06-20,http://en.wikipedia.org/wiki/1971_Dutch_Grand_Prix
1971,5,ricard,43.2506,5.79167,France,1971-07-04,http://en.wikipedia.org/wiki/1971_French_Grand_Prix
1971,6,silverstone,52.0786,-1.01694,UK,1971-07-17,http://en.wikipedia.org/wiki/1971_British_Grand_Prix
1971,7,nurburgring,50.3356,6.9475,Germany,1971-08-01,http://en.wikipedia.org/wiki/1971_German_Grand_Prix
1971,8,osterreichring,47.2197,14.7647,Austria,1971-08-15,http://en.wikipedia.org/wiki/1971_Austrian_Grand_Prix
1971,9,monza,45.6156,9.28111,Italy,1971-09-05,http://en.wikipedia.org/wiki/1971_Italian_Grand_Prix
1971,10,mosport,44.0481,-78.6756,Canada,1971-09-19,http://en.wikipedia.org/wiki/1971_Canadian_Grand_Prix
1971,11,watkins_glen,42.3369,-76.9272,USA,1971-10-03,http://en.wikipedia.org/wiki/1971_United_States_Grand_Prix
1972,1,galvez,-34.6943,-58.4593,Argentina,1972-01-23,http://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix
1972,2,kyalami,-25.9894,28.0767,South Africa,1972-03-04,http://en.wikipedia.org/wiki/1972_South_African_Grand_Prix
1972,3,jarama,40.6171,-3.58558,Spain,1972-05-01,http://en.wikipedia.org/wiki/1972_Spanish_Grand_Prix
1972,4,monaco,43.7347,7.42056,Monaco,1972-05-14,http://en.wikipedia.org/wiki/1972_Monaco_Grand_Prix
1972,5,nivelles,50.6211,4.32694,Belgium,1972-06-04,http://en.wikipedia.org/wiki/1972_Belgian_Grand_Prix
1972,6,charade,45.7472,3.03889,France,1972-07-02,http://en.wikipedia.org/wiki/1972_French_Grand_Prix
1972,7,brands_hatch,51.3569,0.263056,UK,1972-07-15,http://en.wikipedia.org/wiki/1972_British_Grand_Prix
1972,8,nurburgring,50.3356,6.9475,Germany,1972-07-30,http://en.wikipedia.org/wiki/1972_German_Grand_Prix
1972,9,osterreichring,47.2197,14.7647,Austria,1972-08-13,http://en.wikipedia.org/wiki/1972_Austrian_Grand_Prix
1972,10,monza,45.6156,9.28111,Italy,1972-09-10,http://en.wikipedia.org/wiki/1972_Italian_Grand_Prix
1972,11,mosport,44.0481,-78.6756,Canada,1972-09-24,http://en.wikipedia.org/wiki/1972_Canadian_Grand_Prix
1972,12,watkins_glen,42.3369,-76.9272,USA,1972-10-08,http://en.wikipedia.org/wiki/1972_United_States_Grand_Prix
1973,1,galvez,-34.6943,-58.4593,Argentina,1973-01-28,http://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix
1973,2,interlagos,-23.7036,-46.6997,Brazil,1973-02-11,http://en.wikipedia.org/wiki/1973_Brazilian_Grand_Prix
1973,3,kyalami,-25.9894,28.0767,South Africa,1973-03-03,http://en.wikipedia.org/wiki/1973_South_African_Grand_Prix
1973,4,montjuic,41.3664,2.15167,Spain,1973-04-29,http://en.wikipedia.org/wiki/1973_Spanish_Grand_Prix
1973,5,zolder,50.9894,5.25694,Belgium,1973-05-20,http://en.wikipedia.org/wiki/1973_Belgian_Grand_Prix
