season,round,driver,driver_points_after_race,driver_wins_after_race,driver_standings_pos_after_race,driver_points,driver_wins,driver_standings_pos
1950,4,sommer,3.0,0,12,3.0,0.0,12.0
1950,4,cabantous,3.0,0,13,3.0,0.0,10.0
1950,4,green,3.0,0,14,3.0,0.0,11.0
1950,4,bonetto,2.0,0,15,0.0,0.0,0.0
1950,4,bettenhausen,1.0,0,16,1.0,0.0,15.0
1950,4,chitwood,1.0,0,17,1.0,0.0,16.0
1950,4,gerard,0.0,0,18,0.0,0.0,17.0
1950,4,graffenried,0.0,0,19,0.0,0.0,0.0
1950,4,wallard,0.0,0,20,0.0,0.0,18.0
1950,4,claes,0.0,0,21,0.0,0.0,19.0
1950,4,harrison,0.0,0,22,0.0,0.0,20.0
1950,4,faulkner,0.0,0,23,0.0,0.0,21.0
1950,4,pagani,0.0,0,24,0.0,0.0,0.0
1950,4,etancelin,0.0,0,25,0.0,0.0,22.0
1950,4,schell,0.0,0,26,0.0,0.0,0.0
1950,4,george_connor,0.0,0,27,0.0,0.0,23.0
1950,4,hampshire,0.0,0,28,0.0,0.0,24.0
1950,4,paul_russo,0.0,0,29,0.0,0.0,25.0
1950,4,flaherty,0.0,0,30,0.0,0.0,26.0
1950,5,farina,22.0,2,1,18.0,2.0,1.0
1950,5,fagioli,18.0,0,2,12.0,0.0,2.0
1950,5,fangio,17.0,2,3,9.0,1.0,3.0
1950,5,rosier,10.0,0,4,6.0,0.0,7.0
1950,5,parsons,9.0,1,5,9.0,1.0,4.0
1950,5,ascari,8.0,0,6,6.0,0.0,5.0
1950,5,holland,6.0,0,7,6.0,0.0,6.0
1950,5,bira,5.0,0,8,5.0,0.0,8.0
1950,5,chiron,4.0,0,9,4.0,0.0,9.0
1950,5,reg_parnell,4.0,0,10,4.0,0.0,10.0
1950,5,rose,4.0,0,11,4.0,0.0,11.0
1950,5,sommer,3.0,0,12,3.0,0.0,12.0
1950,5,cabantous,3.0,0,13,3.0,0.0,13.0
1950,5,green,3.0,0,14,3.0,0.0,14.0
1950,5,bonetto,2.0,0,15,2.0,0.0,15.0
1950,5,bettenhausen,1.0,0,16,1.0,0.0,16.0
1950,5,chitwood,1.0,0,17,1.0,0.0,17.0
1950,5,gerard,0.0,0,18,0.0,0.0,18.0
1950,5,villoresi,0.0,0,19,0.0,0.0,0.0
1950,5,graffenried,0.0,0,20,0.0,0.0,19.0
1950,5,wallard,0.0,0,21,0.0,0.0,20.0
1950,5,claes,0.0,0,22,0.0,0.0,21.0
1950,5,harrison,0.0,0,23,0.0,0.0,22.0
1950,5,faulkner,0.0,0,24,0.0,0.0,23.0
1950,5,levegh,0.0,0,25,0.0,0.0,0.0
1950,5,pagani,0.0,0,26,0.0,0.0,24.0
1950,5,etancelin,0.0,0,27,0.0,0.0,25.0
1950,5,schell,0.0,0,28,0.0,0.0,26.0
1950,5,george_connor,0.0,0,29,0.0,0.0,27.0
1950,5,crossley,0.0,0,30,0.0,0.0,0.0
1950,6,fangio,26.0,3,1,17.0,2.0,3.0
1950,6,fagioli,24.0,0,2,18.0,0.0,2.0
1950,6,farina,22.0,2,3,22.0,2.0,1.0
1950,6,rosier,10.0,0,4,10.0,0.0,4.0
1950,6,parsons,9.0,1,5,9.0,1.0,5.0
1950,6,ascari,8.0,0,6,8.0,0.0,6.0
1950,6,holland,6.0,0,7,6.0,0.0,7.0
1950,6,bira,5.0,0,8,5.0,0.0,8.0
1950,6,chiron,4.0,0,9,4.0,0.0,9.0
1950,6,reg_parnell,4.0,0,10,4.0,0.0,10.0
1950,6,whitehead,4.0,0,11,0.0,0.0,0.0
1950,6,rose,4.0,0,12,4.0,0.0,11.0
1950,6,cabantous,3.0,0,13,3.0,0.0,13.0
1950,6,sommer,3.0,0,14,3.0,0.0,12.0
1950,6,manzon,3.0,0,15,0.0,0.0,0.0
1950,6,green,3.0,0,16,3.0,0.0,14.0
1950,6,bonetto,2.0,0,17,2.0,0.0,15.0
1950,6,etancelin,1.0,0,18,0.0,0.0,27.0
1950,6,chaboud,1.0,0,19,0.0,0.0,0.0
1950,6,bettenhausen,1.0,0,20,1.0,0.0,16.0
1950,6,chitwood,1.0,0,21,1.0,0.0,17.0
1950,6,gerard,0.0,0,22,0.0,0.0,18.0
1950,6,villoresi,0.0,0,23,0.0,0.0,19.0
1950,6,graffenried,0.0,0,24,0.0,0.0,20.0
1950,6,pozzi,0.0,0,25,0.0,0.0,0.0
1950,6,wallard,0.0,0,26,0.0,0.0,21.0
1950,6,claes,0.0,0,27,0.0,0.0,22.0
1950,6,levegh,0.0,0,28,0.0,0.0,25.0
1950,6,harrison,0.0,0,29,0.0,0.0,23.0
1950,6,faulkner,0.0,0,30,0.0,0.0,24.0
1950,7,farina,30.0,3,1,22.0,2.0,3.0
1950,7,fangio,27.0,3,2,26.0,3.0,1.0
1950,7,fagioli,24.0,0,3,24.0,0.0,2.0
1950,7,rosier,13.0,0,4,10.0,0.0,4.0
1950,7,ascari,11.0,0,5,8.0,0.0,6.0
1950,7,parsons,9.0,1,6,9.0,1.0,5.0
1950,7,holland,6.0,0,7,6.0,0.0,7.0
1950,7,bira,5.0,0,8,5.0,0.0,8.0
1950,7,whitehead,4.0,0,9,4.0,0.0,11.0
1950,7,chiron,4.0,0,10,4.0,0.0,9.0
1950,7,reg_parnell,4.0,0,11,4.0,0.0,10.0
1950,7,rose,4.0,0,12,4.0,0.0,12.0
1950,7,serafini,3.0,0,13,0.0,0.0,0.0
1950,7,cabantous,3.0,0,14,3.0,0.0,13.0
1950,7,sommer,3.0,0,15,3.0,0.0,14.0
1950,7,manzon,3.0,0,16,3.0,0.0,15.0
1950,7,green,3.0,0,17,3.0,0.0,16.0
1950,7,etancelin,3.0,0,18,1.0,0.0,18.0
1950,7,bonetto,2.0,0,19,2.0,0.0,17.0
1950,7,chaboud,1.0,0,20,1.0,0.0,19.0
1950,7,bettenhausen,1.0,0,21,1.0,0.0,20.0
1950,7,chitwood,1.0,0,22,1.0,0.0,21.0
1950,7,graffenried,0.0,0,23,0.0,0.0,24.0
1950,7,gerard,0.0,0,24,0.0,0.0,22.0
1950,7,villoresi,0.0,0,25,0.0,0.0,23.0
1950,7,pozzi,0.0,0,26,0.0,0.0,25.0
1950,7,wallard,0.0,0,27,0.0,0.0,26.0
1950,7,claes,0.0,0,28,0.0,0.0,27.0
1950,7,levegh,0.0,0,29,0.0,0.0,28.0
1950,7,harrison,0.0,0,30,0.0,0.0,29.0
1951,1,fangio,9.0,1,1,0.0,0.0,0.0
1951,1,taruffi,6.0,0,2,0.0,0.0,0.0
1951,1,farina,4.0,0,3,0.0,0.0,0.0
1951,1,sanesi,3.0,0,4,0.0,0.0,0.0
1951,1,graffenried,2.0,0,5,0.0,0.0,0.0
1951,1,ascari,0.0,0,6,0.0,0.0,0.0
1951,1,chiron,0.0,0,7,0.0,0.0,0.0
1951,1,moss,0.0,0,8,0.0,0.0,0.0
1951,1,rosier,0.0,0,9,0.0,0.0,0.0
1951,1,etancelin,0.0,0,10,0.0,0.0,0.0
1951,1,fischer,0.0,0,11,0.0,0.0,0.0
1951,1,schell,0.0,0,12,0.0,0.0,0.0
1951,1,claes,0.0,0,13,0.0,0.0,0.0
1951,1,guy_mairesse,0.0,0,14,0.0,0.0,0.0
1951,1,whitehead,0.0,0,15,0.0,0.0,0.0
1951,1,louveau,0.0,0,16,0.0,0.0,0.0
1951,1,abecassis,0.0,0,17,0.0,0.0,0.0
1951,1,cabantous,0.0,0,18,0.0,0.0,0.0
1951,1,villoresi,0.0,0,19,0.0,0.0,0.0
1951,1,gonzalez,0.0,0,20,0.0,0.0,0.0
1951,1,hirt,0.0,0,21,0.0,0.0,0.0
1951,2,fangio,9.0,1,1,9.0,1.0,1.0
1951,2,wallard,9.0,1,2,0.0,0.0,0.0
1951,2,nazaruk,6.0,0,3,0.0,0.0,0.0
1951,2,taruffi,6.0,0,4,6.0,0.0,2.0
1951,2,farina,4.0,0,5,4.0,0.0,3.0
1951,2,linden,3.0,0,6,0.0,0.0,0.0
1951,2,sanesi,3.0,0,7,3.0,0.0,4.0
1951,2,mcgrath,2.0,0,8,0.0,0.0,0.0
1951,2,ball,2.0,0,9,0.0,0.0,0.0
1951,2,graffenried,2.0,0,10,2.0,0.0,5.0
1951,2,ayulo,2.0,0,11,0.0,0.0,0.0
1951,2,ascari,0.0,0,12,0.0,0.0,6.0
1951,2,banks,0.0,0,13,0.0,0.0,0.0
1951,2,chiron,0.0,0,14,0.0,0.0,7.0
1951,2,forberg,0.0,0,15,0.0,0.0,0.0
1951,2,darter,0.0,0,16,0.0,0.0,0.0
1951,2,moss,0.0,0,17,0.0,0.0,8.0
1951,2,rosier,0.0,0,18,0.0,0.0,9.0
1951,2,etancelin,0.0,0,19,0.0,0.0,10.0
1951,2,fischer,0.0,0,20,0.0,0.0,11.0
1951,2,schell,0.0,0,21,0.0,0.0,12.0
1951,2,claes,0.0,0,22,0.0,0.0,13.0
1951,2,guy_mairesse,0.0,0,23,0.0,0.0,14.0
1951,2,bettenhausen,0.0,0,24,0.0,0.0,0.0
1951,2,nalon,0.0,0,25,0.0,0.0,0.0
1951,2,force,0.0,0,26,0.0,0.0,0.0
1951,2,hanks,0.0,0,27,0.0,0.0,0.0
1951,2,schindler,0.0,0,28,0.0,0.0,0.0
1951,2,rose,0.0,0,29,0.0,0.0,0.0
1951,2,faulkner,0.0,0,30,0.0,0.0,0.0
1951,3,farina,12.0,1,1,4.0,0.0,5.0
1951,3,fangio,10.0,1,2,9.0,1.0,1.0
1951,3,wallard,9.0,1,3,9.0,1.0,2.0
1951,3,ascari,6.0,0,4,0.0,0.0,12.0
1951,3,taruffi,6.0,0,5,6.0,0.0,4.0
1951,3,nazaruk,6.0,0,6,6.0,0.0,3.0
1951,3,villoresi,4.0,0,7,0.0,0.0,0.0
1951,3,rosier,3.0,0,8,0.0,0.0,18.0
1951,3,sanesi,3.0,0,9,3.0,0.0,7.0
1951,3,linden,3.0,0,10,3.0,0.0,6.0
1951,3,mcgrath,2.0,0,11,2.0,0.0,8.0
1951,3,cabantous,2.0,0,12,0.0,0.0,0.0
1951,3,ball,2.0,0,13,2.0,0.0,9.0
1951,3,graffenried,2.0,0,14,2.0,0.0,10.0
1951,3,ayulo,2.0,0,15,2.0,0.0,11.0
1951,3,banks,0.0,0,16,0.0,0.0,13.0
1951,3,andre_pilette,0.0,0,17,0.0,0.0,0.0
1951,3,claes,0.0,0,18,0.0,0.0,22.0
1951,3,chiron,0.0,0,19,0.0,0.0,14.0
1951,3,forberg,0.0,0,20,0.0,0.0,15.0
1951,3,darter,0.0,0,21,0.0,0.0,16.0
1951,3,levegh,0.0,0,22,0.0,0.0,0.0
1951,3,moss,0.0,0,23,0.0,0.0,17.0
1951,3,etancelin,0.0,0,24,0.0,0.0,19.0
1951,3,fischer,0.0,0,25,0.0,0.0,20.0
1951,3,schell,0.0,0,26,0.0,0.0,21.0
1951,3,guy_mairesse,0.0,0,27,0.0,0.0,23.0
1951,3,bettenhausen,0.0,0,28,0.0,0.0,24.0
1951,3,nalon,0.0,0,29,0.0,0.0,25.0
1951,3,force,0.0,0,30,0.0,0.0,26.0
1951,4,fangio,15.0,2,1,10.0,1.0,2.0
1951,4,farina,14.0,1,2,12.0,1.0,1.0
1951,4,wallard,9.0,1,3,9.0,1.0,3.0
1951,4,ascari,9.0,0,4,6.0,0.0,4.0
1951,4,villoresi,8.0,0,5,4.0,0.0,7.0
1951,4,taruffi,6.0,0,6,6.0,0.0,5.0
1951,4,nazaruk,6.0,0,7,6.0,0.0,6.0
1951,4,fagioli,4.0,1,8,0.0,0.0,0.0
1951,4,gonzalez,3.0,0,9,0.0,0.0,0.0
1951,4,rosier,3.0,0,10,3.0,0.0,8.0
1951,4,sanesi,3.0,0,11,3.0,0.0,9.0
1951,4,linden,3.0,0,12,3.0,0.0,10.0
1951,4,reg_parnell,3.0,0,13,0.0,0.0,0.0
1951,4,mcgrath,2.0,0,14,2.0,0.0,11.0
1951,4,cabantous,2.0,0,15,2.0,0.0,12.0
1951,4,graffenried,2.0,0,16,2.0,0.0,14.0
1951,4,ball,2.0,0,17,2.0,0.0,13.0
1951,4,ayulo,2.0,0,18,2.0,0.0,15.0
1951,4,chiron,0.0,0,19,0.0,0.0,19.0
1951,4,banks,0.0,0,20,0.0,0.0,16.0
1951,4,andre_pilette,0.0,0,21,0.0,0.0,17.0
1951,4,claes,0.0,0,22,0.0,0.0,18.0
1951,4,forberg,0.0,0,23,0.0,0.0,20.0
1951,4,darter,0.0,0,24,0.0,0.0,21.0
1951,4,chaboud,0.0,0,25,0.0,0.0,0.0
1951,4,levegh,0.0,0,26,0.0,0.0,22.0
1951,4,moss,0.0,0,27,0.0,0.0,23.0
1951,4,guy_mairesse,0.0,0,28,0.0,0.0,27.0
1951,4,etancelin,0.0,0,29,0.0,0.0,24.0
1951,4,fischer,0.0,0,30,0.0,0.0,25.0
1951,5,fangio,21.0,2,1,15.0,2.0,1.0
1951,5,farina,15.0,1,2,14.0,1.0,2.0
1951,5,villoresi,12.0,0,3,8.0,0.0,5.0
1951,5,gonzalez,11.0,1,4,3.0,0.0,9.0
1951,5,wallard,9.0,1,5,9.0,1.0,3.0
1951,5,ascari,9.0,0,6,9.0,0.0,4.0
1951,5,taruffi,6.0,0,7,6.0,0.0,6.0
1951,5,nazaruk,6.0,0,8,6.0,0.0,7.0
1951,5,reg_parnell,5.0,0,9,3.0,0.0,13.0
1951,5,fagioli,4.0,1,10,4.0,1.0,8.0
1951,5,sanesi,3.0,0,11,3.0,0.0,11.0
1951,5,rosier,3.0,0,12,3.0,0.0,10.0
1951,5,bonetto,3.0,0,13,0.0,0.0,0.0
1951,5,linden,3.0,0,14,3.0,0.0,12.0
1951,5,mcgrath,2.0,0,15,2.0,0.0,14.0
1951,5,cabantous,2.0,0,16,2.0,0.0,15.0
1951,5,graffenried,2.0,0,17,2.0,0.0,16.0
1951,5,ball,2.0,0,18,2.0,0.0,17.0
1951,5,ayulo,2.0,0,19,2.0,0.0,18.0
1951,5,chiron,0.0,0,20,0.0,0.0,19.0
1951,5,banks,0.0,0,21,0.0,0.0,20.0
1951,5,andre_pilette,0.0,0,22,0.0,0.0,21.0
1951,5,claes,0.0,0,23,0.0,0.0,22.0
1951,5,forberg,0.0,0,24,0.0,0.0,23.0
1951,5,peter_walker,0.0,0,25,0.0,0.0,0.0
1951,5,darter,0.0,0,26,0.0,0.0,24.0
1951,5,chaboud,0.0,0,27,0.0,0.0,25.0
1951,5,levegh,0.0,0,28,0.0,0.0,26.0
1951,5,moss,0.0,0,29,0.0,0.0,27.0
1951,5,shawe_taylor,0.0,0,30,0.0,0.0,0.0
1951,6,fangio,27.0,2,1,21.0,2.0,1.0
1951,6,ascari,17.0,1,2,9.0,0.0,6.0
1951,6,gonzalez,15.0,1,3,11.0,1.0,4.0
1951,6,farina,15.0,1,4,15.0,1.0,2.0
1951,6,villoresi,15.0,0,5,12.0,0.0,3.0
1951,6,wallard,9.0,1,6,9.0,1.0,5.0
1951,6,taruffi,8.0,0,7,6.0,0.0,7.0
1951,6,nazaruk,6.0,0,8,6.0,0.0,8.0
1951,6,reg_parnell,5.0,0,9,5.0,0.0,9.0
1951,6,fagioli,4.0,1,10,4.0,1.0,10.0
1951,6,sanesi,3.0,0,11,3.0,0.0,11.0
1951,6,rosier,3.0,0,12,3.0,0.0,12.0
1951,6,bonetto,3.0,0,13,3.0,0.0,13.0
1951,6,linden,3.0,0,14,3.0,0.0,14.0
1951,6,mcgrath,2.0,0,15,2.0,0.0,15.0
1951,6,cabantous,2.0,0,16,2.0,0.0,16.0
1951,6,graffenried,2.0,0,17,2.0,0.0,17.0
1951,6,ball,2.0,0,18,2.0,0.0,18.0
1951,6,ayulo,2.0,0,19,2.0,0.0,19.0
1951,6,chiron,0.0,0,20,0.0,0.0,20.0
1951,6,fischer,0.0,0,21,0.0,0.0,0.0
1951,6,banks,0.0,0,22,0.0,0.0,21.0
1951,6,andre_pilette,0.0,0,23,0.0,0.0,22.0
1951,6,claes,0.0,0,24,0.0,0.0,23.0
1951,6,manzon,0.0,0,25,0.0,0.0,0.0
1951,6,forberg,0.0,0,26,0.0,0.0,24.0
1951,6,peter_walker,0.0,0,27,0.0,0.0,25.0
1951,6,levegh,0.0,0,28,0.0,0.0,28.0
1951,6,darter,0.0,0,29,0.0,0.0,26.0
1951,6,chaboud,0.0,0,30,0.0,0.0,27.0
1951,7,fangio,27.0,2,1,27.0,2.0,1.0
1951,7,ascari,25.0,2,2,17.0,1.0,2.0
1951,7,gonzalez,21.0,1,3,15.0,1.0,3.0
1951,7,farina,17.0,1,4,15.0,1.0,4.0
1951,7,villoresi,15.0,0,5,15.0,0.0,5.0
1951,7,taruffi,10.0,0,6,8.0,0.0,7.0
1951,7,wallard,9.0,1,7,9.0,1.0,6.0
1951,7,nazaruk,6.0,0,8,6.0,0.0,8.0
1951,7,bonetto,5.0,0,9,3.0,0.0,13.0
1951,7,reg_parnell,5.0,0,10,5.0,0.0,9.0
1951,7,fagioli,4.0,1,11,4.0,1.0,10.0
1951,7,sanesi,3.0,0,12,3.0,0.0,11.0
1951,7,rosier,3.0,0,13,3.0,0.0,12.0
1951,7,linden,3.0,0,14,3.0,0.0,14.0
1951,7,mcgrath,2.0,0,15,2.0,0.0,15.0
1951,7,cabantous,2.0,0,16,2.0,0.0,16.0
1951,7,graffenried,2.0,0,17,2.0,0.0,17.0
1951,7,ball,2.0,0,18,2.0,0.0,18.0
1951,7,ayulo,2.0,0,19,2.0,0.0,19.0
1951,7,chiron,0.0,0,20,0.0,0.0,20.0
1951,7,fischer,0.0,0,21,0.0,0.0,21.0
1951,7,simon,0.0,0,22,0.0,0.0,0.0
1951,7,banks,0.0,0,23,0.0,0.0,22.0
1951,7,andre_pilette,0.0,0,24,0.0,0.0,23.0
1951,7,claes,0.0,0,25,0.0,0.0,24.0
1951,7,manzon,0.0,0,26,0.0,0.0,25.0
1951,7,forberg,0.0,0,27,0.0,0.0,26.0
1951,7,peter_walker,0.0,0,28,0.0,0.0,27.0
1951,7,levegh,0.0,0,29,0.0,0.0,28.0
1951,7,darter,0.0,0,30,0.0,0.0,29.0
1951,8,fangio,31.0,3,1,27.0,2.0,1.0
1951,8,ascari,25.0,2,2,25.0,2.0,2.0
1951,8,gonzalez,24.0,1,3,21.0,1.0,3.0
1951,8,farina,19.0,1,4,17.0,1.0,4.0
1951,8,villoresi,15.0,0,5,15.0,0.0,5.0
1951,8,taruffi,10.0,0,6,10.0,0.0,6.0
1951,8,wallard,9.0,1,7,9.0,1.0,7.0
1951,8,bonetto,7.0,0,8,5.0,0.0,9.0
1951,8,nazaruk,6.0,0,9,6.0,0.0,8.0
1951,8,reg_parnell,5.0,0,10,5.0,0.0,10.0
1951,8,fagioli,4.0,1,11,4.0,1.0,11.0
1951,8,sanesi,3.0,0,12,3.0,0.0,12.0
1951,8,rosier,3.0,0,13,3.0,0.0,13.0
1951,8,linden,3.0,0,14,3.0,0.0,14.0
1951,8,mcgrath,2.0,0,15,2.0,0.0,15.0
1951,8,graffenried,2.0,0,16,2.0,0.0,17.0
1951,8,cabantous,2.0,0,17,2.0,0.0,16.0
1951,8,ball,2.0,0,18,2.0,0.0,18.0
1951,8,ayulo,2.0,0,19,2.0,0.0,19.0
1951,8,chiron,0.0,0,20,0.0,0.0,20.0
1951,8,fischer,0.0,0,21,0.0,0.0,21.0
1951,8,simon,0.0,0,22,0.0,0.0,22.0
1951,8,banks,0.0,0,23,0.0,0.0,23.0
1951,8,andre_pilette,0.0,0,24,0.0,0.0,24.0
1951,8,manzon,0.0,0,25,0.0,0.0,26.0
1951,8,claes,0.0,0,26,0.0,0.0,25.0
1951,8,forberg,0.0,0,27,0.0,0.0,27.0
1951,8,peter_walker,0.0,0,28,0.0,0.0,28.0
1951,8,levegh,0.0,0,29,0.0,0.0,29.0
1951,8,etancelin,0.0,0,30,0.0,0.0,0.0
1952,1,taruffi,9.0,1,1,0.0,0.0,0.0
1952,1,fischer,6.0,0,2,0.0,0.0,0.0
1952,1,behra,4.0,0,3,0.0,0.0,0.0
1952,1,wharton,3.0,0,4,0.0,0.0,0.0
1952,1,alan_brown,2.0,0,5,0.0,0.0,0.0
1952,1,graffenried,0.0,0,6,0.0,0.0,0.0
1952,1,hirt,0.0,0,7,0.0,0.0,0.0
1952,1,brandon,0.0,0,8,0.0,0.0,0.0
1952,1,bira,0.0,0,9,0.0,0.0,0.0
1952,1,farina,0.0,0,10,0.0,0.0,0.0
1952,1,simon,0.0,0,11,0.0,0.0,0.0
1952,1,schell,0.0,0,12,0.0,0.0,0.0
1952,1,moss,0.0,0,13,0.0,0.0,0.0
1952,1,macklin,0.0,0,14,0.0,0.0,0.0
1952,1,manzon,0.0,0,15,0.0,0.0,0.0
1952,1,collins,0.0,0,16,0.0,0.0,0.0
1952,1,abecassis,0.0,0,17,0.0,0.0,0.0
1952,1,hans_stuck,0.0,0,18,0.0,0.0,0.0
1952,1,ulmen,0.0,0,19,0.0,0.0,0.0
1952,1,rosier,0.0,0,20,0.0,0.0,0.0
1952,1,terra,0.0,0,21,0.0,0.0,0.0
1952,2,taruffi,9.0,1,1,9.0,1.0,1.0
1952,2,ruttman,8.0,1,2,0.0,0.0,0.0
1952,2,fischer,6.0,0,3,6.0,0.0,2.0
1952,2,rathmann,6.0,0,4,0.0,0.0,0.0
1952,2,behra,4.0,0,5,4.0,0.0,3.0
1952,2,hanks,4.0,0,6,0.0,0.0,0.0
1952,2,darter,3.0,0,7,0.0,0.0,0.0
1952,2,wharton,3.0,0,8,3.0,0.0,4.0
1952,2,alan_brown,2.0,0,9,2.0,0.0,5.0
1952,2,cross,2.0,0,10,0.0,0.0,0.0
1952,2,vukovich,1.0,0,11,0.0,0.0,0.0
1952,2,bryan,0.0,0,12,0.0,0.0,0.0
1952,2,graffenried,0.0,0,13,0.0,0.0,6.0
1952,2,hirt,0.0,0,14,0.0,0.0,7.0
1952,2,reece,0.0,0,15,0.0,0.0,0.0
1952,2,brandon,0.0,0,16,0.0,0.0,8.0
1952,2,george_connor,0.0,0,17,0.0,0.0,0.0
