season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
1950,4,bremgarten,rosier,1905-11-05,French,lago,10,,+1 Lap,4.0,3,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,bira,1914-07-15,Thai,maserati,8,,+2 Laps,3.0,4,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,bonetto,1903-06-09,Italian,maserati,12,,+2 Laps,2.0,5,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,graffenried,1914-05-18,Swiss,maserati,11,,+2 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,pagani,1911-10-11,Italian,maserati,15,,+3 Laps,0.0,7,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,schell,1921-06-29,American,lago,18,,+3 Laps,0.0,8,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,chiron,1899-08-03,Monegasque,maserati,16,,+3 Laps,0.0,9,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,claes,1916-08-11,Belgian,lago,14,,+4 Laps,0.0,10,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,branca,1916-09-15,Swiss,maserati,17,,+7 Laps,0.0,11,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,fangio,1911-06-24,Argentine,alfa,1,,Engine,0.0,12,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,etancelin,1896-12-28,French,lago,6,,Gearbox,0.0,13,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,martin,1915-03-24,French,lago,9,,Accident,0.0,14,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,sommer,1906-08-31,French,ferrari,13,,Suspension,0.0,15,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,villoresi,1909-05-16,Italian,ferrari,4,,Engine,0.0,16,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,ascari,1918-07-13,Italian,ferrari,5,,Oil pump,0.0,17,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,cabantous,1904-10-08,French,lago,7,,Accident,0.0,18,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,5,spa,fangio,1911-06-24,Argentine,alfa,2,10046000.0,Finished,8.0,1,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,fagioli,1898-06-09,Italian,alfa,3,10060000.0,Finished,6.0,2,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,rosier,1905-11-05,French,lago,8,10185000.0,Finished,4.0,3,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,farina,1906-10-30,Italian,alfa,1,10291000.0,Finished,4.0,4,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,ascari,1918-07-13,Italian,ferrari,7,,+1 Lap,2.0,5,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,villoresi,1909-05-16,Italian,ferrari,4,,+2 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,levegh,1905-12-22,French,lago,10,,+2 Laps,0.0,7,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,claes,1916-08-11,Belgian,lago,14,,+3 Laps,0.0,8,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,crossley,1921-05-11,British,alta,12,,+5 Laps,0.0,9,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,branca,1916-09-15,Swiss,maserati,11,,+6 Laps,0.0,10,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,chaboud,1907-04-12,French,lago,13,,Oil pipe,0.0,11,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,sommer,1906-08-31,French,lago,5,,Oil pressure,0.0,12,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,etancelin,1896-12-28,French,lago,6,,Overheating,0.0,13,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,5,spa,cabantous,1904-10-08,French,lago,9,,Oil pipe,0.0,14,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,6,reims,fangio,1911-06-24,Argentine,alfa,1,10672800.0,Finished,9.0,1,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,fagioli,1898-06-09,Italian,alfa,3,10698500.0,Finished,6.0,2,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,whitehead,1914-11-12,British,ferrari,18,,+3 Laps,4.0,3,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,manzon,1917-04-12,French,simca,12,,+3 Laps,3.0,4,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,chaboud,1907-04-12,French,lago,4,,+5 Laps,1.0,5,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,etancelin,1896-12-28,French,lago,4,,+5 Laps,1.0,5,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,rosier,1905-11-05,French,lago,15,,+8 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,pozzi,1909-08-27,French,lago,15,,+8 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,farina,1906-10-30,Italian,alfa,2,,Fuel pump,0.0,7,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,cabantous,1904-10-08,French,lago,5,,+12 Laps,0.0,8,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,levegh,1905-12-22,French,lago,9,,Engine,0.0,9,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,bonetto,1903-06-09,Italian,maserati,10,,Engine,0.0,10,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,claes,1916-08-11,Belgian,lago,14,,Overheating,0.0,11,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,rosier,1905-11-05,French,lago,6,,Overheating,0.0,12,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,reg_parnell,1911-07-02,British,maserati,11,,Engine,0.0,13,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,rol,1908-06-05,Italian,maserati,7,,Engine,0.0,14,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,chiron,1899-08-03,Monegasque,maserati,13,,Engine,0.0,15,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,hampshire,1917-12-29,British,maserati,17,,Engine,0.0,16,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,sommer,1906-08-31,French,lago,16,,Overheating,0.0,17,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,6,reims,gonzalez,1922-10-05,Argentine,maserati,8,,Engine,0.0,18,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,7,monza,farina,1906-10-30,Italian,alfa,3,10277400.0,Finished,8.0,1,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,ascari,1918-07-13,Italian,ferrari,6,,Finished,3.0,2,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,serafini,1909-07-22,Italian,ferrari,6,10356000.0,Finished,3.0,2,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,fagioli,1898-06-09,Italian,alfa,5,10373000.0,Finished,4.0,3,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,rosier,1905-11-05,French,lago,13,,+5 Laps,3.0,4,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,etancelin,1896-12-28,French,lago,16,,+5 Laps,2.0,5,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,graffenried,1914-05-18,Swiss,maserati,17,,+8 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,whitehead,1914-11-12,British,ferrari,18,,+8 Laps,0.0,7,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,murray,1909-12-28,British,maserati,24,,Gearbox,0.0,8,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,harrison,1906-07-06,British,era,21,,Radiator,0.0,9,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,sommer,1906-08-31,French,lago,8,,Gearbox,0.0,10,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,guy_mairesse,1910-08-10,French,lago,11,,Oil pipe,0.0,11,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,rol,1908-06-05,Italian,maserati,9,,Retired,0.0,12,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,taruffi,1906-10-12,Italian,alfa,7,,Engine,0.0,13,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,fangio,1911-06-24,Argentine,alfa,7,,Engine,0.0,13,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,levegh,1905-12-22,French,lago,20,,Gearbox,0.0,14,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,fangio,1911-06-24,Argentine,alfa,1,,Gearbox,1.0,15,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,claes,1916-08-11,Belgian,lago,22,,Overheating,0.0,16,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,ascari,1918-07-13,Italian,ferrari,2,,Engine,0.0,17,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,biondetti,1898-08-18,Italian,ferrari,25,,Engine,0.0,18,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,louveau,1910-01-25,French,lago,16,,Brakes,0.0,19,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,comotti,1906-07-24,Italian,maserati,26,,Retired,0.0,20,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,trintignant,1917-10-30,French,simca,12,,Water pipe,0.0,21,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,chiron,1899-08-03,Monegasque,maserati,19,,Oil pressure,0.0,22,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,sanesi,1911-03-28,Italian,alfa,4,,Engine,0.0,23,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,manzon,1917-04-12,French,simca,10,,Transmission,0.0,24,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,bira,1914-07-15,Thai,maserati,15,,Engine,0.0,25,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,pietsch,1911-06-20,German,maserati,27,,Engine,0.0,26,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1950,7,monza,bonetto,1903-06-09,Italian,milano,23,,Withdrew,0.0,27,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1951,1,bremgarten,fangio,1911-06-24,Argentine,alfa,1,7673640.0,Finished,9.0,1,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,taruffi,1906-10-12,Italian,ferrari,6,7728880.0,Finished,6.0,2,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,farina,1906-10-30,Italian,alfa,2,7752950.0,Finished,4.0,3,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,sanesi,1911-03-28,Italian,alfa,4,,+1 Lap,3.0,4,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,graffenried,1914-05-18,Swiss,alfa,5,,+2 Laps,2.0,5,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,ascari,1918-07-13,Italian,ferrari,7,,+2 Laps,0.0,6,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,chiron,1899-08-03,Monegasque,maserati,19,,+2 Laps,0.0,7,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,moss,1929-09-17,British,hwm,14,,+2 Laps,0.0,8,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,rosier,1905-11-05,French,lago,8,,+3 Laps,0.0,9,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,etancelin,1896-12-28,French,lago,12,,+3 Laps,0.0,10,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,fischer,1912-04-19,Swiss,ferrari,10,,+3 Laps,0.0,11,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,schell,1921-06-29,American,maserati,17,,+4 Laps,0.0,12,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,claes,1916-08-11,Belgian,lago,18,,+7 Laps,0.0,13,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,guy_mairesse,1910-08-10,French,lago,21,,+11 Laps,0.0,14,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,whitehead,1914-11-12,British,ferrari,9,,Accident,0.0,15,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,louveau,1910-01-25,French,lago,11,,Accident,0.0,16,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,abecassis,1913-03-21,British,hwm,20,,Magneto,0.0,17,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,cabantous,1904-10-08,French,lago,15,,Ignition,0.0,18,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,villoresi,1909-05-16,Italian,ferrari,3,,Accident,0.0,19,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,gonzalez,1922-10-05,Argentine,lago,13,,Oil pump,0.0,20,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,1,bremgarten,hirt,1910-03-30,Swiss,veritas,16,,Fuel system,0.0,21,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,2,indianapolis,wallard,1910-09-07,American,kurtis_kraft,2,14258050.0,Finished,9.0,1,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,nazaruk,1921-10-02,American,kurtis_kraft,7,14365290.0,Finished,6.0,2,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,ayulo,1921-10-20,American,kurtis_kraft,3,14429440.0,Finished,2.0,3,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,mcgrath,1919-10-08,American,kurtis_kraft,3,14429440.0,Finished,2.0,3,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,linden,1922-04-05,American,sherman,31,14538170.0,Finished,3.0,4,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,ball,1925-08-26,American,schroeder,29,14550280.0,Finished,2.0,5,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,banks,1913-06-14,American,moore,17,14598070.0,Finished,0.0,6,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,forberg,1911-03-04,American,kurtis_kraft,24,,+7 Laps,0.0,7,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,darter,1913-05-05,American,deidt,4,,+20 Laps,0.0,8,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,bettenhausen,1916-09-12,American,deidt,9,,Spun off,0.0,9,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,nalon,1913-03-02,American,kurtis_kraft,1,,Retired,0.0,10,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,2,indianapolis,force,1916-06-15,American,kurtis_kraft,22,,Engine,0.0,11,http://en.wikipedia.org/wiki/1951_Indianapolis_500
